date;heure;GEN;LOGNES;AUT;PA15L;CERGY;NOGENT;A1;RN2;DEF;RUR-NO;PA18;OPERA;RAMBO;BOB;PA04C;RUR_S;RN6;HAUS;VITRY;RD934;BASCH;ELYS;BP_EST;TREMB
04/10/2016;8;34;23;53;n/d;17;30;55;n/d;37;15;39;49;17;24;32;13;53;53;34;84;n/d;51;51;26
04/10/2016;9;34;25;n/d;n/d;18;35;47;n/d;46;17;n/d;n/d;25;21;34;14;31;46;32;35;n/d;n/d;50;27
04/10/2016;10;28;22;n/d;n/d;27;24;44;n/d;45;25;n/d;n/d;14;18;31;10;23;33;22;25;n/d;n/d;42;23
04/10/2016;11;24;15;36;n/d;16;21;36;n/d;33;18;n/d;n/d;10;14;28;7;26;n/d;22;19;n/d;n/d;31;17
04/10/2016;12;19;16;35;n/d;17;16;39;n/d;21;18;n/d;38;12;11;21;5;25;n/d;17;23;n/d;n/d;25;12
04/10/2016;13;15;15;36;n/d;13;15;35;n/d;24;17;25;27;8;14;25;n/d;25;n/d;18;23;n/d;n/d;28;13
04/10/2016;14;13;14;29;n/d;14;11;36;n/d;24;17;15;19;7;14;23;11;23;n/d;15;21;n/d;n/d;23;13
04/10/2016;15;15;12;39;n/d;12;13;33;n/d;22;18;20;17;12;17;15;13;20;32;15;26;n/d;n/d;27;15
04/10/2016;16;17;15;24;n/d;17;12;29;n/d;19;17;18;31;11;17;14;10;24;25;20;22;n/d;n/d;24;15
04/10/2016;17;15;15;24;n/d;16;15;29;n/d;18;15;17;31;11;17;15;14;22;31;17;19;n/d;n/d;26;14
04/10/2016;18;15;14;30;n/d;18;15;30;n/d;18;13;15;23;15;14;15;8;24;34;19;20;n/d;n/d;31;11
04/10/2016;19;15;15;32;n/d;18;14;33;n/d;17;12;16;33;13;14;16;7;28;31;19;17;n/d;n/d;28;13
04/10/2016;20;14;13;32;n/d;17;16;33;n/d;16;13;n/d;20;12;13;16;9;26;21;9;7;n/d;25;31;12
04/10/2016;21;14;11;31;n/d;8;11;31;n/d;13;13;n/d;26;9;11;16;12;25;19;10;5;n/d;25;24;12
04/10/2016;22;12;9;24;n/d;11;10;28;n/d;12;7;16;24;6;16;13;10;14;17;16;8;n/d;39;51;11
04/10/2016;23;9;8;20;n/d;7;11;21;n/d;11;6;14;16;9;10;11;10;13;21;11;9;n/d;19;23;8
04/10/2016;24;8;10;15;n/d;4;10;17;n/d;11;8;11;18;10;8;10;8;12;17;10;10;n/d;15;17;7
05/10/2016;1;9;9;10;n/d;5;9;15;n/d;9;8;13;22;7;8;11;5;14;10;8;11;n/d;12;15;7
05/10/2016;2;8;11;19;n/d;6;11;14;n/d;9;10;11;14;7;12;9;6;11;10;9;9;n/d;31;15;9
05/10/2016;3;8;7;18;n/d;8;8;15;n/d;9;8;12;12;7;8;9;5;11;10;12;9;n/d;15;18;7
05/10/2016;4;8;12;17;n/d;7;8;25;n/d;10;9;10;10;8;9;9;6;18;17;8;13;n/d;17;22;7
05/10/2016;5;9;10;24;n/d;9;12;31;n/d;10;10;13;12;8;12;10;5;19;25;17;15;n/d;26;31;10
05/10/2016;6;13;10;23;n/d;13;11;37;n/d;12;11;14;23;13;11;12;8;30;25;16;20;n/d;27;29;12
05/10/2016;7;17;11;30;n/d;14;15;36;n/d;18;11;17;31;10;16;14;9;29;27;23;27;n/d;26;32;11
05/10/2016;8;22;15;35;n/d;14;19;35;n/d;23;11;24;39;15;16;21;8;31;33;15;21;n/d;n/d;26;16
05/10/2016;9;18;17;35;n/d;18;15;35;n/d;25;15;24;39;n/d;17;22;7;18;30;21;11;n/d;n/d;28;15
05/10/2016;10;16;n/d;47;n/d;10;14;n/d;n/d;24;16;28;34;n/d;14;26;11;22;32;14;17;n/d;n/d;28;15
05/10/2016;11;15;n/d;45;n/d;15;16;n/d;35;22;16;23;34;n/d;12;16;11;25;42;11;18;n/d;n/d;29;13
05/10/2016;12;16;n/d;46;n/d;16;15;n/d;37;20;n/d;23;25;13;13;17;13;28;27;13;28;n/d;n/d;24;14
05/10/2016;13;18;16;56;n/d;17;12;66;38;21;n/d;28;33;n/d;22;20;15;36;45;22;28;n/d;n/d;32;15
05/10/2016;14;20;12;45;n/d;18;17;53;28;22;n/d;31;24;n/d;20;19;17;43;48;25;33;n/d;n/d;32;15
05/10/2016;15;22;n/d;40;n/d;28;15;48;38;24;n/d;32;29;18;22;24;22;34;38;29;36;n/d;n/d;27;22
05/10/2016;16;23;n/d;34;n/d;25;17;45;33;24;n/d;27;36;21;24;22;27;35;55;36;34;n/d;n/d;29;22
05/10/2016;17;20;17;33;n/d;21;19;39;39;22;n/d;25;29;25;18;20;31;36;35;26;24;n/d;n/d;31;22
05/10/2016;18;17;13;28;n/d;17;18;32;37;19;21;21;26;22;12;19;28;30;37;21;19;n/d;n/d;34;19
05/10/2016;19;18;13;36;n/d;17;13;37;30;18;20;23;34;19;19;17;18;24;33;18;19;n/d;n/d;32;17
05/10/2016;20;15;15;34;n/d;8;13;39;32;14;14;21;29;18;14;18;16;23;23;13;14;n/d;34;27;18
05/10/2016;21;14;17;27;n/d;10;14;30;27;13;14;20;24;9;14;17;13;18;23;13;11;n/d;31;27;14
05/10/2016;22;11;13;24;n/d;11;11;29;36;12;15;18;20;10;9;14;11;17;20;10;8;n/d;21;13;14
05/10/2016;23;11;8;20;n/d;9;9;22;18;11;12;12;18;11;8;11;8;14;14;10;6;n/d;18;13;12
05/10/2016;24;11;4;18;n/d;6;8;18;25;10;11;11;15;9;7;12;10;10;19;9;6;n/d;19;9;9
06/10/2016;1;9;5;10;n/d;8;9;15;15;10;11;10;11;5;7;8;9;14;31;9;6;n/d;14;8;9
06/10/2016;2;5;7;12;n/d;7;6;14;11;10;10;9;9;6;8;7;7;9;11;6;6;n/d;11;8;9
06/10/2016;3;5;6;15;n/d;8;5;14;9;9;7;8;9;7;5;6;5;7;6;4;9;n/d;8;7;6
06/10/2016;4;5;n/d;20;n/d;9;6;21;14;6;10;9;8;5;4;7;7;14;14;8;9;n/d;10;24;6
06/10/2016;5;5;5;22;n/d;7;10;29;20;9;10;11;16;4;9;8;6;18;11;10;13;n/d;10;28;9
06/10/2016;6;7;10;23;n/d;10;9;28;20;10;10;10;17;8;10;9;5;32;17;9;21;n/d;16;29;7
06/10/2016;7;11;13;28;n/d;13;13;42;40;18;9;16;24;9;9;14;6;16;26;14;28;n/d;26;32;10
06/10/2016;8;13;15;33;n/d;n/d;14;43;41;19;11;20;36;11;7;17;5;18;29;15;n/d;n/d;n/d;31;14
06/10/2016;9;14;8;51;n/d;n/d;15;41;32;22;14;27;32;8;10;17;4;20;28;18;15;n/d;n/d;35;13
06/10/2016;10;13;14;43;n/d;11;19;35;29;24;14;26;24;20;7;15;3;15;30;16;21;n/d;n/d;25;12
06/10/2016;11;11;12;31;n/d;14;16;34;26;21;18;22;23;13;5;15;7;16;30;18;12;n/d;n/d;18;8
06/10/2016;12;8;7;34;n/d;14;16;35;25;20;21;20;23;12;11;11;6;16;21;19;17;n/d;n/d;23;9
06/10/2016;13;11;12;28;n/d;14;14;35;27;20;12;22;27;11;10;14;12;22;23;16;15;n/d;n/d;33;12
06/10/2016;14;17;10;28;n/d;13;13;30;28;21;11;20;29;14;8;13;10;16;29;19;18;n/d;n/d;24;11
06/10/2016;15;12;9;25;n/d;8;11;40;24;19;18;21;23;13;8;13;n/d;17;25;14;12;n/d;n/d;25;12
06/10/2016;16;7;8;20;n/d;9;11;27;22;17;12;19;25;12;10;12;n/d;21;26;12;15;n/d;n/d;28;5
06/10/2016;17;8;6;17;n/d;13;9;41;26;19;14;18;22;8;11;10;n/d;19;20;15;16;n/d;n/d;23;7
06/10/2016;18;10;12;19;n/d;16;11;37;32;17;12;19;22;12;11;13;n/d;13;28;22;24;n/d;n/d;32;12
06/10/2016;19;13;14;32;n/d;16;13;44;35;17;15;18;23;10;14;15;n/d;16;24;16;28;n/d;n/d;34;17
06/10/2016;20;15;13;39;n/d;23;17;42;31;16;21;21;24;11;15;20;n/d;22;27;24;20;n/d;33;31;15
06/10/2016;21;18;13;38;n/d;22;18;42;42;20;20;28;31;17;17;21;17;15;38;18;18;n/d;33;31;18
06/10/2016;22;21;18;39;n/d;27;19;37;31;20;24;27;31;15;20;22;15;17;28;19;13;n/d;33;32;21
06/10/2016;23;21;18;35;n/d;24;19;36;29;21;17;22;24;16;21;22;13;12;32;19;9;n/d;25;27;21
06/10/2016;24;21;26;30;n/d;26;21;40;32;20;21;26;26;14;20;22;12;13;27;22;11;n/d;26;27;23
07/10/2016;1;20;26;27;n/d;25;22;29;27;22;24;25;26;13;17;21;11;10;19;16;16;n/d;25;21;20
07/10/2016;2;16;19;21;n/d;21;21;26;26;19;20;23;22;15;11;20;12;16;17;10;14;n/d;18;17;17
07/10/2016;3;13;15;24;n/d;19;15;27;22;15;20;19;18;13;11;16;21;18;17;9;11;n/d;16;18;16
07/10/2016;4;14;12;25;n/d;17;13;40;22;17;14;17;18;11;18;16;13;14;18;15;10;n/d;18;29;17
07/10/2016;5;16;8;32;n/d;18;16;40;37;16;22;17;20;15;12;15;9;17;26;13;19;n/d;17;33;17
07/10/2016;6;18;21;35;n/d;21;18;42;36;22;20;21;25;13;13;17;17;25;26;19;26;n/d;24;37;16
07/10/2016;7;20;20;28;n/d;21;17;46;43;23;20;24;32;18;14;19;11;24;28;18;24;n/d;39;35;16
07/10/2016;8;21;18;34;n/d;20;20;52;41;26;19;39;39;14;16;22;11;20;34;30;22;n/d;35;55;17
07/10/2016;9;21;16;47;n/d;20;19;49;48;n/d;15;45;40;15;17;23;13;15;31;18;22;n/d;38;35;16
07/10/2016;10;18;15;40;n/d;15;19;38;40;n/d;17;33;39;15;13;25;10;16;33;16;19;n/d;36;35;15
07/10/2016;11;17;13;34;n/d;11;18;39;29;24;9;27;35;15;n/d;19;8;19;29;16;15;n/d;36;34;13
07/10/2016;12;13;11;30;n/d;10;15;32;26;20;16;23;30;10;n/d;17;5;20;29;13;11;n/d;n/d;30;10
07/10/2016;13;11;10;28;n/d;11;9;35;20;18;12;24;25;10;n/d;17;4;13;24;14;13;n/d;n/d;26;9
07/10/2016;14;8;6;24;n/d;11;11;37;26;17;17;19;25;12;n/d;14;5;17;28;20;22;n/d;n/d;30;7
07/10/2016;15;8;9;23;n/d;11;9;34;33;15;23;17;29;14;8;13;8;26;27;15;19;n/d;n/d;35;8
07/10/2016;16;10;10;33;n/d;15;10;40;28;17;14;15;22;15;7;15;9;22;22;12;18;24;n/d;32;7
07/10/2016;17;11;10;23;n/d;14;9;39;35;17;12;15;29;12;12;13;12;25;19;17;21;34;n/d;29;8
07/10/2016;18;11;9;16;n/d;12;10;39;31;18;17;17;32;16;11;13;14;28;18;14;28;38;n/d;34;10
07/10/2016;19;13;12;25;n/d;14;7;40;34;13;17;16;29;19;10;12;11;24;21;17;35;38;23;33;12
07/10/2016;20;13;11;30;n/d;17;14;39;28;11;16;18;19;18;13;15;13;20;21;16;39;30;32;33;11
07/10/2016;21;14;14;28;n/d;19;17;33;21;11;16;18;17;12;16;15;12;22;15;14;13;30;27;26;15
07/10/2016;22;16;12;30;n/d;18;15;41;31;17;20;17;21;12;12;18;13;14;20;14;10;36;22;33;17
07/10/2016;23;21;11;38;n/d;22;16;42;33;23;19;21;29;16;18;20;9;17;25;16;14;31;27;29;19
07/10/2016;24;19;19;30;n/d;19;16;38;26;20;19;23;31;18;21;22;10;11;21;16;19;28;29;29;18
08/10/2016;1;19;18;28;n/d;25;16;26;26;18;22;22;26;23;22;21;16;15;22;21;10;31;24;30;21
08/10/2016;2;19;18;26;n/d;23;18;28;28;23;24;23;25;15;20;23;10;12;20;25;17;29;20;24;23
08/10/2016;3;22;20;36;n/d;26;20;33;29;22;31;22;24;12;22;23;12;13;24;16;16;28;25;27;24
08/10/2016;4;25;23;33;n/d;33;27;41;33;24;27;27;27;19;22;24;15;16;28;21;14;38;28;32;28
08/10/2016;5;27;25;37;n/d;31;28;50;31;26;29;31;33;19;22;29;15;20;31;31;18;42;n/d;33;28
08/10/2016;6;30;26;35;n/d;29;27;45;36;31;28;34;32;25;23;30;18;24;28;33;26;44;39;33;30
08/10/2016;7;32;27;46;n/d;31;29;46;42;28;29;33;39;27;25;31;17;30;35;31;31;47;37;37;31
08/10/2016;8;29;29;46;n/d;30;31;55;38;32;28;33;37;26;26;32;26;33;34;36;42;51;39;43;34
08/10/2016;9;32;31;48;n/d;22;30;56;42;32;27;34;42;31;26;31;22;32;36;28;23;50;43;35;31
08/10/2016;10;33;29;44;n/d;22;31;49;41;33;24;34;40;23;25;34;21;31;36;30;23;57;53;50;29
08/10/2016;11;31;26;48;n/d;28;29;46;41;33;23;35;34;28;22;34;18;22;36;52;23;64;n/d;42;30
08/10/2016;12;27;22;31;n/d;54;25;44;27;30;21;28;29;16;14;30;19;22;44;25;15;47;n/d;36;24
08/10/2016;13;22;17;33;n/d;22;19;51;31;31;20;27;38;16;13;24;19;23;35;17;14;39;n/d;32;22
08/10/2016;14;22;14;27;n/d;18;16;45;31;29;15;25;32;18;14;24;15;18;33;17;26;43;n/d;40;17
08/10/2016;15;20;16;34;n/d;12;19;50;32;23;14;26;25;18;17;26;17;20;39;19;23;43;n/d;27;18
08/10/2016;16;19;16;45;n/d;19;15;42;31;24;14;28;32;18;21;25;16;24;24;22;24;41;n/d;30;18
08/10/2016;17;20;16;42;n/d;17;17;41;34;22;18;25;32;15;19;25;14;38;31;23;37;48;n/d;36;20
08/10/2016;18;22;18;34;n/d;26;22;48;34;23;32;43;50;24;15;24;18;31;41;20;37;43;n/d;43;22
08/10/2016;19;26;23;33;n/d;28;25;52;40;26;23;40;45;23;25;27;20;25;29;29;32;50;53;40;24
08/10/2016;20;29;28;39;n/d;33;24;55;42;30;26;37;41;31;24;32;20;33;30;23;31;50;50;34;26
08/10/2016;21;30;30;40;n/d;30;30;52;41;29;30;37;34;30;29;36;20;36;30;31;26;46;42;35;24
08/10/2016;22;31;28;34;n/d;29;29;51;38;27;29;35;36;34;29;33;26;34;36;25;29;46;43;42;26
08/10/2016;23;25;25;36;n/d;39;32;51;44;26;29;36;40;27;26;30;27;31;28;22;24;42;33;53;24
08/10/2016;24;23;24;35;n/d;32;32;47;37;25;21;31;32;29;27;27;24;29;24;24;24;37;31;43;22
09/10/2016;1;24;27;48;n/d;24;25;42;28;20;n/d;28;36;28;26;24;26;30;28;18;15;33;43;32;20
09/10/2016;2;21;24;49;n/d;25;23;41;27;22;33;24;28;26;20;23;22;26;19;16;13;27;22;31;22
09/10/2016;3;22;21;39;n/d;22;21;37;32;26;21;22;25;20;20;20;19;27;24;19;12;26;27;35;22
09/10/2016;4;25;21;44;n/d;23;19;40;31;31;14;24;23;20;19;19;17;24;22;19;12;25;31;27;19
09/10/2016;5;28;22;41;n/d;27;18;40;44;26;n/d;24;24;23;17;22;18;22;27;18;15;35;41;31;18
09/10/2016;6;26;19;41;n/d;24;21;39;31;24;20;24;24;22;20;24;21;21;29;20;13;40;27;30;21
09/10/2016;7;29;19;54;n/d;28;22;45;47;24;19;26;29;21;31;23;16;21;21;30;22;33;37;35;26
09/10/2016;8;35;20;35;n/d;25;26;45;34;23;20;26;31;22;27;25;18;30;19;28;21;40;33;32;33
09/10/2016;9;28;22;39;n/d;23;27;48;45;22;23;27;30;25;24;26;18;23;32;24;31;38;42;35;30
09/10/2016;10;26;23;40;n/d;23;30;50;37;30;22;32;34;17;25;29;18;21;32;19;28;42;n/d;33;28
09/10/2016;11;23;20;34;n/d;17;28;48;39;26;18;32;33;10;22;29;13;20;25;18;13;39;n/d;37;23
09/10/2016;12;18;18;30;n/d;10;19;41;31;22;10;26;25;11;14;19;11;17;24;16;13;37;n/d;32;15
09/10/2016;13;14;13;28;n/d;10;11;38;21;14;14;23;22;11;11;19;7;16;25;10;14;33;n/d;31;13
09/10/2016;14;14;11;21;n/d;9;12;33;24;13;11;27;21;8;9;19;6;14;17;14;11;25;n/d;29;17
09/10/2016;15;14;14;31;n/d;11;12;34;25;14;12;20;22;8;15;17;11;17;16;10;17;24;n/d;30;12
09/10/2016;16;12;9;35;n/d;11;14;30;27;15;13;24;22;13;14;19;12;14;18;15;18;33;n/d;25;11
09/10/2016;17;9;9;28;n/d;10;15;36;30;13;10;22;18;13;13;19;10;15;11;17;16;35;n/d;25;14
09/10/2016;18;14;12;39;n/d;20;14;35;32;12;14;21;14;15;14;18;8;28;22;23;16;36;n/d;38;21
09/10/2016;19;20;11;49;n/d;30;17;52;42;16;16;24;23;19;19;20;10;59;25;22;31;32;43;54;27
09/10/2016;20;26;22;44;n/d;19;21;65;43;21;18;29;31;22;29;24;14;51;27;28;35;42;49;48;23
09/10/2016;21;35;29;67;n/d;21;25;65;41;26;16;41;28;23;35;24;15;37;29;32;23;43;42;52;32
09/10/2016;22;37;29;62;n/d;17;30;74;53;32;12;36;29;25;35;28;16;36;31;42;17;41;41;59;42
09/10/2016;23;36;32;53;n/d;16;29;58;47;40;14;36;26;23;34;30;19;28;27;39;18;35;41;42;38
09/10/2016;24;38;31;49;n/d;15;28;48;34;31;13;33;33;22;24;25;16;25;30;23;13;42;25;28;26
10/10/2016;1;34;29;42;n/d;18;27;53;32;26;16;35;29;19;19;25;22;27;29;27;17;40;29;29;34
10/10/2016;2;27;23;40;n/d;13;27;42;32;23;18;32;31;17;17;26;24;25;26;21;13;30;40;28;32
10/10/2016;3;25;21;42;n/d;21;24;51;37;22;18;28;29;17;21;28;21;27;29;21;20;35;34;33;33
10/10/2016;4;24;24;45;n/d;20;23;60;37;19;17;26;27;20;23;25;22;41;26;22;27;33;34;34;30
10/10/2016;5;24;25;49;n/d;27;25;73;46;19;27;29;26;14;25;25;19;34;30;23;35;40;51;48;31
