date;heure;GEN;GON;A1;RUR-SE;RN6;RAMBO;RUR_S;BOB;PA04C;VITRY;AUT;RUR_N;BP_EST
04/10/2016;18;6;5;11;2;9;6;2;6;7;8;12;5;14
04/10/2016;19;7;5;11;3;9;6;2;5;10;10;15;4;14
04/10/2016;20;7;9;8;2;8;5;2;6;9;6;14;5;16
04/10/2016;21;7;7;7;2;10;3;4;8;9;3;9;4;10
04/10/2016;22;7;7;12;4;8;2;6;10;9;2;11;2;13
04/10/2016;23;7;8;7;5;6;7;4;8;8;2;11;2;9
04/10/2016;24;6;7;4;4;7;4;7;8;8;5;10;4;8
05/10/2016;1;6;10;3;2;5;3;7;6;6;5;n/d;4;10
05/10/2016;2;5;8;3;0;5;3;6;4;7;6;10;3;7
05/10/2016;3;6;9;5;4;4;n/d;5;6;6;4;8;2;8
05/10/2016;4;6;10;17;5;2;n/d;3;4;6;6;12;2;11
05/10/2016;5;7;9;17;4;6;4;1;6;7;5;13;2;13
05/10/2016;6;8;6;13;4;14;2;3;8;6;7;11;3;18
05/10/2016;7;9;9;13;4;12;n/d;1;9;9;7;12;7;14
05/10/2016;8;9;8;14;5;7;8;2;8;10;7;12;5;17
05/10/2016;9;9;6;15;6;4;n/d;5;8;11;7;15;4;14
05/10/2016;10;10;10;n/d;5;4;n/d;6;6;10;4;15;6;9
05/10/2016;11;8;8;n/d;4;5;n/d;3;7;11;4;13;4;12
05/10/2016;12;7;10;n/d;6;5;4;1;8;10;5;11;2;12
05/10/2016;13;5;7;10;6;4;6;2;8;9;7;14;3;11
05/10/2016;14;5;3;10;3;3;4;2;4;8;4;18;5;10
05/10/2016;15;8;4;5;0;2;n/d;2;3;6;4;n/d;5;7
05/10/2016;16;7;6;9;1;3;n/d;4;3;6;3;11;4;8
05/10/2016;17;7;6;8;2;5;4;4;7;8;6;10;6;10
05/10/2016;18;7;6;8;0;7;3;3;5;8;7;11;7;9
05/10/2016;19;7;9;7;2;7;4;3;5;8;6;10;6;7
05/10/2016;20;7;6;9;1;5;3;4;5;9;7;11;3;11
05/10/2016;21;6;7;9;3;4;1;4;8;9;7;14;1;11
05/10/2016;22;6;6;12;5;5;n/d;3;5;6;6;11;3;6
05/10/2016;23;6;5;7;5;6;1;1;3;7;5;6;3;4
05/10/2016;24;4;4;5;4;2;3;0;3;5;6;4;5;5
06/10/2016;1;3;5;5;1;1;2;2;6;4;6;5;7;7
06/10/2016;2;3;7;4;0;2;3;1;4;5;3;3;4;5
06/10/2016;3;3;5;4;2;1;1;0;1;4;2;3;2;4
06/10/2016;4;3;4;5;2;1;0;1;1;4;7;6;1;8
06/10/2016;5;4;7;18;8;4;n/d;0;5;3;6;11;7;14
06/10/2016;6;5;9;12;6;8;n/d;2;6;5;7;9;7;15
06/10/2016;7;5;7;16;1;5;0;3;4;7;6;10;5;12
06/10/2016;8;7;6;19;0;7;2;2;6;9;5;10;4;15
06/10/2016;9;7;7;15;4;6;1;2;5;7;6;19;6;12
06/10/2016;10;5;5;13;3;3;2;2;4;7;8;14;4;10
06/10/2016;11;4;4;11;1;3;3;1;2;9;6;11;2;6
06/10/2016;12;5;5;12;0;1;2;2;n/d;8;4;9;2;8
06/10/2016;13;7;4;13;0;1;0;1;n/d;7;2;11;4;6
06/10/2016;14;4;4;13;n/d;2;0;2;n/d;5;5;10;4;8
06/10/2016;15;4;4;10;n/d;2;0;n/d;3;4;4;12;3;7
06/10/2016;16;4;4;6;2;5;1;n/d;5;4;4;10;1;9
06/10/2016;17;5;3;14;0;4;n/d;13;6;3;2;11;2;7
06/10/2016;18;4;3;12;n/d;3;2;12;5;6;2;9;5;13
06/10/2016;19;7;9;17;n/d;3;4;14;8;9;5;13;8;17
06/10/2016;20;11;9;14;3;4;4;13;8;12;8;16;10;13
06/10/2016;21;13;12;17;2;4;3;8;15;14;15;23;11;17
06/10/2016;22;15;18;20;3;3;4;6;17;16;13;22;12;16
06/10/2016;23;16;18;19;4;1;7;7;12;16;14;21;18;17
06/10/2016;24;16;11;20;2;1;6;5;19;17;13;16;14;18
07/10/2016;1;16;17;17;4;3;8;5;13;17;15;16;12;20
07/10/2016;2;13;14;15;4;4;8;5;11;15;13;9;15;17
07/10/2016;3;11;15;10;2;8;9;16;9;13;9;11;14;12
07/10/2016;4;12;11;17;1;7;7;13;13;13;9;16;14;15
07/10/2016;5;14;11;20;2;12;7;9;11;13;9;17;12;20
07/10/2016;6;14;13;14;5;9;7;7;10;15;7;21;11;21
07/10/2016;7;16;12;22;5;13;7;5;14;14;13;21;15;22
07/10/2016;8;16;15;22;5;9;7;4;10;14;14;22;9;24
07/10/2016;9;14;12;25;11;7;10;5;7;16;10;17;7;22
07/10/2016;10;13;13;15;7;5;8;9;9;13;10;16;3;19
07/10/2016;11;9;7;10;3;5;9;6;n/d;12;8;16;5;18
07/10/2016;12;8;5;15;3;5;6;1;n/d;9;6;15;5;13
07/10/2016;13;7;7;14;4;4;3;1;n/d;10;3;14;3;13
07/10/2016;14;6;7;12;4;3;2;2;n/d;8;4;11;2;15
07/10/2016;15;7;4;13;2;10;1;5;6;7;6;12;3;15
07/10/2016;16;5;3;9;1;6;10;6;7;9;7;13;3;12
07/10/2016;17;6;2;10;6;7;8;4;5;7;5;9;2;13
07/10/2016;18;7;3;11;7;9;12;3;5;8;7;12;5;17
07/10/2016;19;7;6;20;4;13;16;3;6;9;8;14;6;22
07/10/2016;20;10;7;18;3;11;7;6;5;9;5;16;7;19
07/10/2016;21;11;14;15;5;11;8;6;10;10;10;16;11;12
07/10/2016;22;12;11;21;6;6;6;8;16;11;8;20;14;18
07/10/2016;23;16;13;25;6;4;10;7;13;14;15;20;14;15
07/10/2016;24;14;14;20;4;7;8;5;14;16;11;13;14;16
08/10/2016;1;15;18;16;4;4;14;5;15;15;9;15;16;18
08/10/2016;2;16;18;15;4;4;17;5;18;17;10;19;18;18
08/10/2016;3;18;21;17;10;7;13;8;16;17;15;20;15;18
08/10/2016;4;20;21;24;9;6;16;8;22;20;14;21;23;22
08/10/2016;5;24;24;26;5;7;18;11;21;23;22;22;21;27
08/10/2016;6;24;21;26;6;15;19;12;25;24;24;28;19;26
08/10/2016;7;24;17;31;13;13;22;13;23;25;27;26;16;30
08/10/2016;8;24;17;32;12;15;18;17;21;25;19;25;16;25
08/10/2016;9;24;19;27;17;22;21;16;19;26;25;26;17;27
08/10/2016;10;24;16;28;16;18;22;16;17;27;22;28;16;36
08/10/2016;11;24;18;27;10;9;20;14;23;28;17;28;17;27
08/10/2016;12;23;17;25;11;8;13;13;12;23;14;28;16;21
08/10/2016;13;16;19;17;10;10;11;12;10;20;9;25;10;19
08/10/2016;14;15;17;27;8;8;13;8;10;16;9;19;10;21
08/10/2016;15;16;13;19;6;11;10;9;13;18;9;21;14;17
08/10/2016;16;14;13;23;10;13;7;10;17;20;20;23;12;18
08/10/2016;17;13;12;15;8;21;11;12;13;19;12;15;16;24
08/10/2016;18;17;16;28;6;11;15;12;16;20;15;18;20;27
08/10/2016;19;18;16;34;4;17;17;14;18;22;23;22;25;22
08/10/2016;20;22;19;32;8;15;29;13;26;27;19;27;19;24
08/10/2016;21;25;19;34;7;24;28;15;21;28;19;26;20;23
08/10/2016;22;25;17;27;9;25;26;17;22;25;18;22;20;25
08/10/2016;23;22;24;27;10;19;24;18;16;22;16;24;14;27
08/10/2016;24;19;15;31;11;17;20;18;19;20;16;23;13;26
09/10/2016;1;19;19;26;17;18;18;20;22;20;14;26;19;19
09/10/2016;2;17;14;21;16;15;21;14;15;17;13;27;17;18
09/10/2016;3;18;11;21;11;14;13;18;16;15;13;24;17;16
09/10/2016;4;21;17;23;7;14;16;12;18;15;11;29;13;21
09/10/2016;5;24;19;24;14;13;15;13;17;17;17;27;14;19
09/10/2016;6;21;21;26;12;21;18;12;18;17;15;26;16;22
09/10/2016;7;22;15;21;8;12;16;10;23;17;21;27;17;29
09/10/2016;8;27;17;21;13;18;15;10;16;18;17;27;19;24
09/10/2016;9;23;21;32;8;14;12;13;20;19;17;24;16;23
09/10/2016;10;20;16;29;4;9;11;12;17;21;16;26;6;26
09/10/2016;11;17;12;20;9;8;11;8;13;20;8;18;8;20
09/10/2016;12;14;12;19;5;7;10;9;10;17;8;17;11;21
09/10/2016;13;10;11;20;7;6;7;6;6;17;5;16;8;15
09/10/2016;14;9;10;18;9;6;4;4;9;16;6;13;6;13
09/10/2016;15;10;10;23;5;6;6;8;8;12;9;11;6;16
09/10/2016;16;9;8;16;4;6;4;8;6;13;7;14;4;13
09/10/2016;17;7;6;15;7;5;4;8;7;14;10;16;5;18
09/10/2016;18;10;10;20;3;17;7;5;10;13;8;18;14;22
09/10/2016;19;13;19;26;2;43;11;3;14;14;17;20;24;27
09/10/2016;20;20;18;35;4;30;13;3;17;16;13;23;16;37
09/10/2016;21;27;20;38;6;28;13;2;20;18;23;38;13;34
09/10/2016;22;31;16;45;5;23;15;9;27;19;32;35;11;36
09/10/2016;23;28;17;33;5;21;13;10;23;22;27;26;9;23
09/10/2016;24;30;10;23;7;16;15;15;15;18;18;26;10;17
10/10/2016;1;28;12;20;6;16;15;9;12;19;15;22;19;18
10/10/2016;2;23;12;29;10;14;10;15;13;21;17;22;12;24
10/10/2016;3;22;16;31;14;16;15;13;13;22;15;21;13;22
10/10/2016;4;21;15;33;12;23;9;14;14;21;22;24;13;21
10/10/2016;5;20;18;33;19;24;9;13;14;20;16;30;15;34
10/10/2016;6;21;21;32;16;20;8;14;18;22;26;31;21;36
10/10/2016;7;21;27;45;17;22;16;15;22;25;32;30;31;41
10/10/2016;8;23;27;40;18;35;21;16;26;29;31;28;28;31
10/10/2016;9;27;30;41;19;34;11;17;31;30;36;31;20;43
10/10/2016;10;33;34;42;11;27;17;13;30;27;23;34;14;21
10/10/2016;11;n/d;29;37;10;17;19;13;21;26;19;26;19;26
10/10/2016;12;28;19;40;8;14;14;12;24;29;23;27;7;24
10/10/2016;13;22;11;28;6;14;9;9;18;28;14;18;10;20
10/10/2016;14;17;9;19;5;13;3;6;17;21;12;17;9;23
10/10/2016;15;12;10;16;6;18;2;6;5;15;10;9;6;16
10/10/2016;16;7;12;16;7;27;3;6;7;9;8;18;7;7
10/10/2016;17;9;8;24;7;7;4;5;9;8;7;16;7;11
10/10/2016;18;9;6;27;8;12;4;3;10;8;7;22;9;11
10/10/2016;19;12;8;19;11;12;17;1;14;9;9;21;9;12
10/10/2016;20;16;8;27;5;12;9;n/d;16;13;6;23;8;9
10/10/2016;21;20;6;26;3;12;5;n/d;15;16;11;21;10;9
10/10/2016;22;18;6;27;5;13;3;8;16;17;16;21;10;11
10/10/2016;23;16;8;16;5;18;3;6;7;14;8;16;6;15
10/10/2016;24;14;13;11;10;13;4;11;13;14;16;20;5;17
11/10/2016;1;12;12;16;11;12;4;8;12;12;12;16;7;12
11/10/2016;2;12;12;14;10;12;3;7;16;13;12;16;9;18
11/10/2016;3;13;12;16;11;11;5;8;14;15;13;15;13;22
11/10/2016;4;17;13;29;10;12;7;6;16;18;19;18;16;27
11/10/2016;5;21;10;31;11;13;6;5;9;23;20;30;13;27
11/10/2016;6;18;14;32;9;10;12;8;13;18;14;21;12;27
11/10/2016;7;20;13;30;11;8;11;8;12;18;20;20;10;23
11/10/2016;8;19;15;33;7;15;11;5;11;22;18;28;15;29
11/10/2016;9;n/d;15;24;6;11;12;9;13;22;24;31;21;24
11/10/2016;10;n/d;17;22;7;19;13;12;16;22;23;25;25;26
11/10/2016;11;n/d;23;30;11;16;12;19;14;22;19;24;28;29
11/10/2016;12;n/d;26;33;17;19;15;18;11;22;15;22;28;26
11/10/2016;13;n/d;19;29;12;12;14;15;12;27;14;29;23;21
11/10/2016;14;n/d;17;24;15;15;12;10;12;25;12;27;16;28
11/10/2016;15;19;9;20;15;13;11;9;13;24;12;30;16;25
11/10/2016;16;16;17;22;8;17;15;9;17;21;15;20;14;28
11/10/2016;17;18;17;26;8;16;16;8;17;22;12;20;12;32
11/10/2016;18;21;21;34;13;24;21;7;21;23;23;23;18;32
11/10/2016;19;26;23;34;7;22;26;12;26;26;25;26;19;34
11/10/2016;20;30;21;40;3;21;24;13;23;29;28;26;22;36
11/10/2016;21;31;21;41;6;23;24;12;26;30;30;29;24;37
11/10/2016;22;30;22;31;11;22;26;20;30;31;28;32;30;34
11/10/2016;23;30;22;27;10;20;28;19;26;30;25;30;31;32
11/10/2016;24;30;27;31;11;12;21;21;29;31;23;33;30;28
12/10/2016;1;30;31;27;19;17;23;21;20;29;24;30;32;33
12/10/2016;2;30;24;29;17;18;16;18;21;30;26;28;34;31
12/10/2016;3;31;28;36;17;18;20;14;23;31;30;35;31;33
12/10/2016;4;32;33;32;16;21;22;17;30;34;31;40;34;34
12/10/2016;5;36;31;56;12;21;26;18;30;37;34;37;36;41
12/10/2016;6;39;33;54;19;26;25;18;29;38;33;41;38;54
12/10/2016;7;41;35;53;15;30;29;18;37;40;35;44;36;52
12/10/2016;8;43;36;47;15;26;28;19;36;44;36;44;45;n/d
12/10/2016;9;42;35;49;15;23;36;26;33;n/d;36;47;40;n/d
12/10/2016;10;42;36;44;10;16;24;14;27;n/d;28;44;38;n/d
12/10/2016;11;42;32;43;9;9;17;11;22;n/d;21;44;30;n/d
12/10/2016;12;37;26;35;9;9;16;12;21;n/d;21;40;23;n/d
12/10/2016;13;35;23;33;6;10;16;14;20;n/d;19;39;13;n/d
12/10/2016;14;31;22;32;6;9;18;8;18;n/d;18;32;12;n/d
12/10/2016;15;25;22;31;7;7;17;7;18;n/d;20;28;10;n/d
12/10/2016;16;24;22;33;8;6;14;5;23;n/d;19;27;14;n/d
12/10/2016;17;26;18;30;6;9;22;5;18;n/d;22;26;19;n/d
12/10/2016;18;27;16;36;8;15;21;7;18;n/d;18;26;19;n/d
12/10/2016;19;25;17;25;6;16;27;10;17;n/d;26;29;21;n/d
12/10/2016;20;24;17;21;7;8;25;9;21;n/d;19;28;21;n/d
12/10/2016;21;23;18;23;10;12;23;13;20;n/d;21;21;14;n/d
12/10/2016;22;20;18;20;8;8;20;9;17;n/d;17;21;13;n/d
12/10/2016;23;21;15;16;8;9;10;9;20;n/d;16;15;15;n/d
12/10/2016;24;18;11;10;12;8;11;7;n/d;n/d;14;17;13;n/d
13/10/2016;1;16;12;14;10;8;12;9;17;n/d;12;16;12;n/d
13/10/2016;2;14;14;18;11;8;9;8;15;n/d;10;11;12;n/d
13/10/2016;3;14;14;15;16;7;10;10;10;n/d;8;12;17;n/d
13/10/2016;4;14;11;21;13;7;10;10;8;n/d;12;16;12;n/d
13/10/2016;5;14;16;15;10;14;n/d;14;11;n/d;13;21;11;n/d
13/10/2016;6;15;15;20;17;15;6;12;9;n/d;12;20;9;n/d
13/10/2016;7;16;17;16;14;18;12;11;10;n/d;15;19;12;n/d
13/10/2016;8;19;12;21;14;23;15;15;13;n/d;17;20;13;n/d
13/10/2016;9;19;12;20;11;23;12;11;15;n/d;18;25;11;n/d
13/10/2016;10;18;12;27;17;16;9;10;16;n/d;15;26;12;n/d
13/10/2016;11;20;16;25;n/d;14;9;10;13;n/d;12;24;13;n/d
13/10/2016;12;20;12;18;n/d;15;11;10;18;8;15;20;11;n/d
13/10/2016;13;17;16;22;20;14;14;12;14;15;14;23;10;n/d
13/10/2016;14;17;12;20;16;16;12;n/d;15;19;14;25;10;n/d
13/10/2016;15;16;13;21;12;n/d;15;12;15;19;11;27;7;n/d
13/10/2016;16;16;15;17;10;18;13;10;13;17;11;24;10;n/d
13/10/2016;17;14;10;20;10;20;12;13;8;15;11;18;9;n/d
13/10/2016;18;16;11;20;11;21;12;9;17;18;10;16;14;n/d
13/10/2016;19;16;17;20;10;12;12;11;18;17;14;20;13;n/d
13/10/2016;20;17;13;21;10;14;9;13;11;18;13;19;9;n/d
13/10/2016;21;14;14;14;11;13;13;11;16;15;12;13;10;n/d
13/10/2016;22;15;10;14;13;12;10;10;9;15;10;17;8;n/d
13/10/2016;23;15;14;13;13;10;13;9;11;18;14;10;8;n/d
13/10/2016;24;14;10;17;14;11;14;10;7;15;12;18;10;n/d
14/10/2016;1;13;11;14;15;11;15;11;11;15;12;16;12;n/d
14/10/2016;2;15;7;16;12;9;12;11;10;16;9;15;9;n/d
14/10/2016;3;14;11;14;10;7;13;12;9;13;11;12;8;n/d
14/10/2016;4;14;12;13;13;13;10;12;10;13;13;17;7;n/d
14/10/2016;5;14;9;26;13;21;15;11;14;14;15;21;10;n/d
14/10/2016;6;13;10;22;12;18;12;9;12;14;11;23;9;n/d
14/10/2016;7;14;10;16;11;16;9;8;11;14;11;19;8;n/d
14/10/2016;8;17;11;19;11;15;15;8;11;16;16;20;11;22
14/10/2016;9;16;10;23;13;12;19;9;10;16;13;19;8;26
14/10/2016;10;15;11;18;12;15;16;11;11;17;16;25;10;27
14/10/2016;11;16;13;24;12;17;9;10;11;22;13;22;7;26
14/10/2016;12;15;11;18;11;15;15;9;10;21;16;23;8;24
14/10/2016;13;18;14;23;8;22;9;9;10;19;15;22;10;25
14/10/2016;14;17;12;21;11;14;11;10;12;19;11;22;6;37
14/10/2016;15;16;11;26;16;17;11;17;9;20;17;24;11;25
14/10/2016;16;16;15;21;13;14;11;11;10;17;13;20;10;23
14/10/2016;17;15;16;22;13;17;15;9;11;17;15;15;8;20
14/10/2016;18;16;12;22;10;19;21;13;13;18;19;22;11;19
14/10/2016;19;16;14;22;5;13;21;10;14;17;14;19;12;15
14/10/2016;20;17;16;17;5;14;12;14;10;18;18;28;11;16
14/10/2016;21;17;10;26;8;12;17;12;15;17;14;32;10;17
14/10/2016;22;18;15;n/d;8;16;28;12;12;20;12;29;9;24
14/10/2016;23;18;14;25;10;14;17;14;18;21;12;29;11;17
14/10/2016;24;20;16;31;16;13;25;24;18;21;20;22;16;19
15/10/2016;1;20;19;19;18;16;11;12;16;21;22;21;19;22
15/10/2016;2;21;16;26;18;19;12;10;23;25;20;25;17;24
15/10/2016;3;24;19;29;16;14;15;9;14;24;16;17;18;18
15/10/2016;4;17;10;25;15;12;11;n/d;12;18;13;16;12;18
15/10/2016;5;19;20;30;8;14;14;13;15;19;15;24;14;21
15/10/2016;6;23;19;28;11;21;13;12;18;21;22;24;13;32
15/10/2016;7;23;22;32;14;18;11;10;18;23;21;24;19;35
15/10/2016;8;24;19;42;13;16;11;10;17;24;23;23;17;29
15/10/2016;9;24;16;34;13;14;12;n/d;20;23;18;21;17;28
15/10/2016;10;20;16;31;15;15;11;10;16;20;18;21;17;24
15/10/2016;11;18;16;25;11;13;9;10;12;19;15;19;12;23
15/10/2016;12;16;12;28;8;10;9;7;11;18;14;16;12;19
15/10/2016;13;16;15;18;5;6;8;10;9;16;10;11;11;16
15/10/2016;14;11;9;19;3;8;4;6;6;12;9;11;9;17
15/10/2016;15;7;11;17;4;7;5;5;8;10;7;10;9;16
15/10/2016;16;7;9;18;7;4;7;3;8;10;7;12;8;16
15/10/2016;17;6;8;22;5;4;8;4;7;10;12;17;6;24
15/10/2016;18;11;15;27;5;7;6;6;13;12;10;17;10;24
15/10/2016;19;10;11;31;4;11;9;7;10;14;9;18;9;31
15/10/2016;20;12;15;26;4;7;7;5;8;17;14;15;9;27
15/10/2016;21;14;11;20;9;7;8;7;9;16;11;16;9;20
15/10/2016;22;12;12;15;9;9;6;5;9;15;17;17;8;28
15/10/2016;23;11;10;17;7;13;8;5;8;13;11;12;8;25
15/10/2016;24;10;9;20;6;9;6;7;11;14;9;11;8;21
16/10/2016;1;12;12;27;7;6;5;8;11;15;10;16;12;21
16/10/2016;2;13;10;21;6;6;7;6;16;14;8;11;11;16
16/10/2016;3;13;12;13;6;6;6;7;14;13;7;13;10;19
16/10/2016;4;14;13;19;7;6;9;7;10;14;10;10;9;17
16/10/2016;5;13;10;12;6;7;6;5;7;13;10;11;5;17
16/10/2016;6;12;15;8;6;9;9;5;8;11;7;8;12;14
16/10/2016;7;9;10;11;6;13;7;4;8;11;8;6;9;17
16/10/2016;8;9;12;14;8;8;4;4;8;10;6;10;10;19
16/10/2016;9;8;10;13;5;4;7;4;9;11;8;13;8;11
16/10/2016;10;9;10;17;2;4;6;4;7;11;8;14;6;14
16/10/2016;11;8;7;12;2;3;4;6;5;12;6;11;8;20
16/10/2016;12;7;6;15;4;6;2;6;5;11;6;12;9;17
16/10/2016;13;7;8;12;4;6;2;5;4;9;4;11;8;13
16/10/2016;14;8;8;15;4;4;4;6;5;11;4;13;7;17
16/10/2016;15;8;6;16;6;6;6;5;7;10;4;11;8;15
16/10/2016;16;8;7;8;5;8;10;6;8;11;5;10;6;8
16/10/2016;17;8;7;17;2;8;10;5;6;12;9;17;7;20
16/10/2016;18;12;17;22;n/d;7;7;5;10;14;10;13;6;33
16/10/2016;19;10;19;25;4;10;5;5;13;15;11;22;7;31
16/10/2016;20;8;15;8;8;11;3;8;8;17;17;10;5;31
16/10/2016;21;3;n/d;13;8;10;4;7;4;9;7;10;2;5
16/10/2016;22;3;5;10;2;6;6;6;4;4;5;8;1;5
16/10/2016;23;3;4;7;3;6;3;3;3;4;6;6;n/d;6
